Market,Product,Country,Date,Retail (MT),Wholesale (MT),Currency
Bujumbura,Maize,Burundi,10/23/2012,763316,712429,BIF
Bujumbura,Maize,Burundi,10/24/2012,763591,712685,BIF
Bujumbura,Maize,Burundi,10/25/2012,763601,712695,BIF
Bujumbura,Maize,Burundi,10/26/2012,771334,719912,BIF
Bujumbura,Maize,Burundi,10/29/2012,903733,853524,BIF
Bujumbura,Maize,Burundi,10/30/2012,904977,854699,BIF
Bujumbura,Maize,Burundi,10/31/2012,908708,858224,BIF
Bujumbura,Maize,Burundi,11/1/2012,859986,809399,BIF
Bujumbura,Maize,Burundi,11/2/2012,861161,810504,BIF
Bujumbura,Maize,Burundi,11/5/2012,963788,862335,BIF
Bujumbura,Maize,Burundi,11/6/2012,913062,862335,BIF
Bujumbura,Maize,Burundi,11/8/2012,859986,809399,BIF
Bujumbura,Maize,Burundi,11/9/2012,861748,811057,BIF
Bujumbura,Maize,Burundi,11/12/2012,911196,860573,BIF
Bujumbura,Maize,Burundi,11/13/2012,913062,862335,BIF
Bujumbura,Maize,Burundi,11/14/2012,913062,862335,BIF
Bujumbura,Maize,Burundi,11/15/2012,898161,848263,BIF
Bujumbura,Maize,Burundi,11/16/2012,850000,800000,BIF
Bujumbura,Maize,Burundi,11/19/2012,896935,847105,BIF
Bujumbura,Maize,Burundi,11/20/2012,895708,845947,BIF
Bujumbura,Maize,Burundi,11/21/2012,850000,800000,BIF
Bujumbura,Maize,Burundi,11/22/2012,850000,800001,BIF
Bujumbura,Maize,Burundi,11/23/2012,850000,800001,BIF
Bujumbura,Maize,Burundi,11/23/2012,850000,800001,BIF
Bujumbura,Maize,Burundi,11/26/2012,850001,800001,BIF
Bujumbura,Maize,Burundi,11/27/2012,850001,800001,BIF
Bujumbura,Maize,Burundi,11/28/2012,850001,800000,BIF
Bujumbura,Maize,Burundi,11/29/2012,850000,799999,BIF
Bujumbura,Maize,Burundi,11/30/2012,850000,800000,BIF
Bujumbura,Maize,Burundi,12/3/2012,903016,852848,BIF
Bujumbura,Maize,Burundi,12/4/2012,904659,854400,BIF
Bujumbura,Maize,Burundi,12/5/2012,900000,850000,BIF
Bujumbura,Maize,Burundi,12/6/2012,900001,849999,BIF
Bujumbura,Maize,Burundi,12/7/2012,901205,851137,BIF
Bujumbura,Maize,Burundi,12/10/2012,800000,750000,BIF
Bujumbura,Maize,Burundi,12/11/2012,799999,750000,BIF
Bujumbura,Maize,Burundi,12/12/2012,800534,750501,BIF
Bujumbura,Maize,Burundi,12/13/2012,799999,750000,BIF
Bujumbura,Maize,Burundi,12/14/2012,799999,750000,BIF
Bujumbura,Maize,Burundi,12/17/2012,800000,750001,BIF
Bujumbura,Maize,Burundi,12/18/2012,801615,751515,BIF
Bujumbura,Maize,Burundi,12/19/2012,848858,818898,BIF
Bujumbura,Maize,Burundi,12/20/2012,850000,819999,BIF
Bujumbura,Maize,Burundi,12/21/2012,856805,826564,BIF
Bujumbura,Maize,Burundi,12/24/2012,800000,780001,BIF
Bujumbura,Maize,Burundi,12/26/2012,797896,777949,BIF
Bujumbura,Maize,Burundi,12/27/2012,795793,775898,BIF
Bujumbura,Maize,Burundi,12/31/2012,809512,758916,BIF
Bujumbura,Maize,Burundi,1/2/2013,800001,750000,BIF
Bujumbura,Maize,Burundi,1/3/2013,799472,749504,BIF
Bujumbura,Maize,Burundi,1/4/2013,800000,750000,BIF
Bujumbura,Maize,Burundi,1/7/2013,804104,843812,BIF
Bujumbura,Maize,Burundi,1/8/2013,750000,700001,BIF
Bujumbura,Maize,Burundi,1/9/2013,750000,700000,BIF
Bujumbura,Maize,Burundi,1/10/2013,750001,700000,BIF
Bujumbura,Maize,Burundi,1/11/2013,755048,704710,BIF
Bujumbura,Maize,Burundi,1/14/2013,750001,699999,BIF
Bujumbura,Maize,Burundi,1/15/2013,751516,701413,BIF
Bujumbura,Maize,Burundi,1/16/2013,752520,702352,BIF
Bujumbura,Maize,Burundi,1/17/2013,699999,750000,BIF
Bujumbura,Maize,Burundi,1/18/2013,749499,699531,BIF
Bujumbura,Maize,Burundi,1/21/2013,751003,700935,BIF
Bujumbura,Maize,Burundi,1/22/2013,748999,699066,BIF
Bujumbura,Maize,Burundi,1/23/2013,798395,748496,BIF
Bujumbura,Maize,Burundi,1/24/2013,798395,748496,BIF
Bujumbura,Maize,Burundi,1/25/2013,795187,745488,BIF
Bujumbura,Maize,Burundi,1/28/2013,863537,815563,BIF
Bujumbura,Maize,Burundi,1/29/2013,903016,852848,BIF
Bujumbura,Maize,Burundi,1/29/2013,903016,852848,BIF
Bujumbura,Maize,Burundi,1/30/2013,900000,850000,BIF
Bujumbura,Maize,Burundi,1/31/2013,900000,850000,BIF
Bujumbura,Maize,Burundi,1/31/2013,900000,850000,BIF
Bujumbura,Maize,Burundi,2/1/2013,905878,855552,BIF
Bujumbura,Maize,Burundi,2/1/2013,905878,855552,BIF
Bujumbura,Maize,Burundi,2/4/2013,900000,850000,BIF
Bujumbura,Maize,Burundi,2/5/2013,900000,850000,BIF
Bujumbura,Maize,Burundi,2/6/2013,900000,850000,BIF
Bujumbura,Maize,Burundi,2/7/2013,942645,893032,BIF
Bujumbura,Maize,Burundi,2/11/2013,964206,913460,BIF
Bujumbura,Maize,Burundi,2/12/2013,933940,884786,BIF
Bujumbura,Maize,Burundi,2/13/2013,956794,906438,BIF
Bujumbura,Maize,Burundi,2/14/2013,1007802,957412,BIF
Bujumbura,Maize,Burundi,2/15/2013,1011703,961118,BIF
